=== start a 12:04 ===
    K      N     M   wMiB   w/L2  A MiB |  sw1 TF  sw8 TF |   gain8% | ident
 5120  20480  6144  100.0  4.167   30.0 |    53.7   171.0 |   +218.6 | True
 5120  20480  8192  100.0  4.167   40.0 |    51.4   172.3 |   +235.3 | True
 6144   1280  2048    7.5  0.312   12.0 |   154.4   162.3 |     +5.1 | True
 6144   1280  3072    7.5  0.312   18.0 |   189.9   182.2 |     -4.0 | True
 6144   1280  4096    7.5  0.312   24.0 |   183.3   181.2 |     -1.1 | True
 6144   1280  6144    7.5  0.312   36.0 |   189.8   176.6 |     -6.9 | True
 6144   1280  8192    7.5  0.312   48.0 |   176.4   170.9 |     -3.1 | True
 6144   2560  2048   15.0  0.625   12.0 |   179.6   168.3 |     -6.3 | True
 6144   2560  3072   15.0  0.625   18.0 |   191.0   170.6 |    -10.7 | True
 6144   2560  4096   15.0  0.625   24.0 |   170.7   162.3 |     -4.9 | True
 6144   2560  6144   15.0  0.625   36.0 |   174.1   168.5 |     -3.2 | True
 6144   2560  8192   15.0  0.625   48.0 |   171.0   168.6 |     -1.4 | True
 6144   3840  2048   22.5  0.938   12.0 |   186.7   170.1 |     -8.9 | True
 6144   3840  3072   22.5  0.938   18.0 |   141.1   161.0 |    +14.1 | True
 6144   3840  4096   22.5  0.938   24.0 |   140.6   174.7 |    +24.3 | True
 6144   3840  6144   22.5  0.938   36.0 |   108.4   172.8 |    +59.4 | True
 6144   3840  8192   22.5  0.938   48.0 |   107.8   172.5 |    +60.0 | True
 6144   5120  2048   30.0  1.250   12.0 |   177.0   164.1 |     -7.3 | True
 6144   5120  3072   30.0  1.250   18.0 |   135.9   166.0 |    +22.2 | True
 6144   5120  4096   30.0  1.250   24.0 |    89.8   170.8 |    +90.2 | True
 6144   5120  6144   30.0  1.250   36.0 |    90.0   172.1 |    +91.3 | True
 6144   5120  8192   30.0  1.250   48.0 |    66.4   169.2 |   +154.9 | True
 6144   7168  2048   42.0  1.750   12.0 |   178.0   156.2 |    -12.3 | True
 6144   7168  3072   42.0  1.750   18.0 |   142.2   166.5 |    +17.1 | True
 6144   7168  4096   42.0  1.750   24.0 |    85.8   168.5 |    +96.4 | True
 6144   7168  6144   42.0  1.750   36.0 |    52.4   173.7 |   +231.8 | True
 6144   7168  8192   42.0  1.750   48.0 |    72.1   171.2 |   +137.3 | True
 6144  10240  2048   60.0  2.500   12.0 |   179.7   167.3 |     -6.9 | True
 6144  10240  3072   60.0  2.500   18.0 |   143.6   167.8 |    +16.8 | True
 6144  10240  4096   60.0  2.500   24.0 |    89.6   164.4 |    +83.5 | True
 6144  10240  6144   60.0  2.500   36.0 |    52.2   172.5 |   +230.4 | True
 6144  10240  8192   60.0  2.500   48.0 |    51.3   173.4 |   +238.2 | True
