=== start 1 (15:45:22) ===
rows      n     k | stock med     min     max |  det med     min     max | ratio(med) ratio(min)
   2  16384  2048 |      16.4    16.4    16.5 |     18.5    18.5    18.5 |       1.13       1.13
   2  32768  2048 |      20.7    20.6    26.8 |     22.7    22.6    23.4 |       1.10       1.10
   4   8192  2048 |      12.3    12.1    16.7 |     12.4    12.4    13.5 |       1.01       1.02
   4  16384  2048 |      16.5    16.4    16.5 |     18.5    18.5    18.6 |       1.13       1.13
   4  32768  2048 |      20.7    20.6    25.4 |     22.6    22.6    22.7 |       1.10       1.10
   8   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.00
   8  16384  2048 |      16.5    16.5    16.7 |     19.5    19.1    19.7 |       1.18       1.16
   8  32768  2048 |      22.6    22.6    22.6 |     22.7    22.7    22.7 |       1.00       1.00
  16   8192  2048 |      12.4    12.3    12.5 |     12.4    12.4    12.4 |       1.00       1.00
  16  16384  2048 |      16.5    16.5    16.5 |     18.6    18.5    18.6 |       1.12       1.12
  16  32768  2048 |      22.6    22.6    22.7 |     28.8    28.8    28.8 |       1.27       1.27
  24   8192  2048 |      12.4    12.3    17.9 |     12.5    12.4    16.5 |       1.01       1.00
  24  16384  2048 |      16.5    16.5    16.5 |     18.5    18.5    18.6 |       1.12       1.12
  24  32768  2048 |      22.6    22.6    22.8 |     51.6    51.5    51.7 |       2.28       2.28
  32   8192  2048 |      12.4    12.3    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  32  16384  2048 |      17.9    17.7    22.6 |     20.4    20.3    20.9 |       1.13       1.15
  32  32768  2048 |      39.0    39.0    44.9 |     53.3    53.3    53.4 |       1.37       1.37
  48   8192  2048 |      12.4    12.4    12.4 |     12.4    12.4    12.4 |       1.00       1.00
  48  16384  2048 |      18.5    18.5    18.5 |     20.6    20.5    20.6 |       1.11       1.11
  48  32768  2048 |      40.9    40.8    45.6 |     75.9    75.9    75.9 |       1.85       1.86
== ALL DONE == 15:45
