2026/09/25 03:22:12.731, 2528 MHz, 31.15 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:12.982, 2528 MHz, 31.18 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:13.232, 2528 MHz, 31.18 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:13.482, 2528 MHz, 31.28 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:13.733, 2528 MHz, 31.28 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:13.983, 2528 MHz, 31.50 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:14.233, 2528 MHz, 31.50 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:14.483, 2528 MHz, 31.27 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:14.734, 2528 MHz, 31.27 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:14.984, 2528 MHz, 31.16 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:15.234, 2528 MHz, 31.16 W, 49, 0x0000000000000000, 95 %
2026/09/25 03:22:15.484, 2515 MHz, 26.67 W, 47, 0x0000000000000000, 0 %
2026/09/25 03:22:15.734, 2515 MHz, 26.67 W, 47, 0x0000000000000000, 0 %
2026/09/25 03:22:15.984, 2411 MHz, 17.12 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:16.235, 2411 MHz, 17.12 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:16.485, 2411 MHz, 11.75 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:16.735, 2411 MHz, 11.75 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:16.987, 2411 MHz, 11.69 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:17.238, 2411 MHz, 11.69 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:17.488, 2411 MHz, 11.65 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:17.739, 2411 MHz, 11.65 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:17.989, 2411 MHz, 11.64 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:18.240, 2411 MHz, 11.64 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:18.491, 2411 MHz, 11.65 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:18.741, 2411 MHz, 11.65 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:18.992, 2411 MHz, 11.63 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:19.242, 2411 MHz, 11.63 W, 46, 0x0000000000000000, 0 %
2026/09/25 03:22:19.493, 2411 MHz, 11.59 W, 45, 0x0000000000000000, 0 %
2026/09/25 03:22:19.743, 2411 MHz, 11.59 W, 45, 0x0000000000000000, 0 %
2026/09/25 03:22:19.994, 2411 MHz, 11.58 W, 45, 0x0000000000000000, 0 %
