=== start a 11:57 ===
    K      N   w/L2     M  A MiB |  sw1 TF  sw8 TF | best   gain8% | ident
 5120   3456  0.703  2048   10.0 |   184.4   179.3 |    1     -2.8 | True
 5120   3456  0.703  4096   20.0 |   177.5   168.4 |    1     -5.1 | True
 5120   3456  0.703  6144   30.0 |   155.8   172.0 |    8    +10.4 | True
 5120   4224  0.859  2048   10.0 |   184.8   166.3 |    1    -10.0 | True
 5120   4224  0.859  4096   20.0 |   104.7   159.9 |    8    +52.7 | True
 5120   4224  0.859  6144   30.0 |   119.0   172.5 |    8    +44.9 | True
 5120   4480  0.911  2048   10.0 |   182.1   168.0 |    1     -7.7 | True
 5120   4480  0.911  4096   20.0 |   114.5   149.3 |    8    +30.4 | True
 5120   4480  0.911  6144   30.0 |   105.4   172.6 |    8    +63.8 | True
 5120   4736  0.964  2048   10.0 |   178.5   170.6 |    1     -4.4 | True
 5120   4736  0.964  4096   20.0 |   120.3   147.5 |    8    +22.7 | True
 5120   4736  0.964  6144   30.0 |    91.6   168.0 |    8    +83.5 | True
 5120   4864  0.990  2048   10.0 |   184.1   167.4 |    1     -9.0 | True
 5120   4864  0.990  4096   20.0 |   107.1   148.8 |    8    +39.0 | True
 5120   4864  0.990  6144   30.0 |    84.3   170.6 |    8   +102.3 | True
 5120   4992  1.016  2048   10.0 |   185.0   168.1 |    1     -9.1 | True
 5120   4992  1.016  4096   20.0 |   119.4   151.1 |    8    +26.5 | True
 5120   4992  1.016  6144   30.0 |   107.1   166.7 |    8    +55.7 | True
 5120   5120  1.042  2048   10.0 |   179.9   164.3 |    1     -8.7 | True
 5120   5120  1.042  4096   20.0 |   119.2   166.5 |    8    +39.7 | True
 5120   5120  1.042  6144   30.0 |   100.8   166.8 |    8    +65.6 | True
 5120   5376  1.094  2048   10.0 |   174.6   163.2 |    1     -6.5 | True
 5120   5376  1.094  4096   20.0 |   107.5   155.6 |    8    +44.7 | True
 5120   5376  1.094  6144   30.0 |    99.1   172.9 |    8    +74.4 | True
 5120   6400  1.302  2048   10.0 |   180.8   167.0 |    1     -7.6 | True
 5120   6400  1.302  4096   20.0 |   107.7   161.0 |    8    +49.5 | True
 5120   6400  1.302  6144   30.0 |    53.9   158.5 |    8   +194.0 | True
 5120   8320  1.693  2048   10.0 |   171.7   171.4 |    1     -0.2 | True
 5120   8320  1.693  4096   20.0 |   116.8   164.3 |    8    +40.7 | True
 5120   8320  1.693  6144   30.0 |    56.6   166.1 |    8   +193.6 | True
== ALL DONE ==
=== start c 11:58 ===
    K      N   w/L2     M  A MiB |  sw1 TF  sw8 TF | best   gain8% | ident
 2560   6912  0.703  2048    5.0 |   159.7   161.2 |    8     +1.0 | True
 2560   6912  0.703  4096   10.0 |   161.4   161.1 |    1     -0.2 | True
 2560   6912  0.703  6144   15.0 |   134.9   147.6 |    8     +9.4 | True
 2560   8320  0.846  2048    5.0 |   161.9   164.8 |    8     +1.8 | True
 2560   8320  0.846  4096   10.0 |   157.3   153.2 |    1     -2.6 | True
 2560   8320  0.846  6144   15.0 |   131.4   150.6 |    8    +14.6 | True
 2560   9088  0.924  2048    5.0 |   161.7   166.0 |    8     +2.6 | True
 2560   9088  0.924  4096   10.0 |   162.6   152.3 |    1     -6.4 | True
 2560   9088  0.924  6144   15.0 |   149.3   149.0 |    1     -0.2 | True
